Age,tree_felling
500,2
501,3
502,6
503,5
504,5
505,5
506,6
507,2
508,3
509,3
510,5
511,3
512,2
513,3
514,4
515,4
516,1
517,4
518,4
519,5
520,4
521,8
522,4
523,3
524,3
525,7
526,2
527,6
528,5
529,3
530,6
531,8
532,11
533,2
534,8
535,3
536,10
537,18
538,4
539,7
541,9
542,7
543,10
544,8
545,2
546,9
547,11
548,7
549,9
550,8
551,11
552,10
553,4
554,4
555,10
556,11
557,7
558,5
559,10
560,9
561,6
562,16
563,6
564,12
565,7
566,13
567,15
568,6
569,3
570,17
571,18
572,9
573,11
574,21
575,16
576,8
577,12
578,2
579,10
580,8
581,19
582,20
583,10
584,14
585,16
586,11
587,22
588,3
589,10
590,10
591,5
592,14
593,16
594,17
595,25
596,12
597,17
598,23
599,8
600,18
601,8
602,11
603,10
604,11
605,17
606,19
607,19
608,26
609,15
610,41
611,10
612,21
613,19
614,14
615,22
616,15
617,31
618,31
619,41
620,15
621,25
622,33
623,42
624,28
625,25
626,16
627,19
628,24
629,11
630,16
631,24
632,15
633,17
634,9
635,18
636,35
637,21
638,11
639,3
640,8
641,17
642,19
643,20
644,27
645,12
646,18
647,18
648,71
649,32
650,19
651,13
652,31
653,22
654,14
655,25
656,27
657,27
658,19
659,14
660,13
661,9
662,10
663,22
664,17
665,44
666,19
667,48
668,24
669,34
670,20
671,16
672,25
673,22
674,32
675,19
676,41
677,25
678,21
679,20
680,25
681,13
682,29
683,40
684,41
685,43
686,21
687,17
688,18
689,30
690,27
691,22
692,18
693,17
694,23
695,17
696,9
697,5
698,14
699,25
700,34
701,12
702,22
703,11
704,13
705,3
706,1
707,7
708,4
709,6
711,4
712,4
713,4
714,7
715,15
716,3
718,3
719,8
720,7
721,3
722,8
723,2
724,2
725,14
726,7
727,7
728,14
729,38
730,13
731,6
732,8
733,9
734,9
735,5
736,12
737,8
738,4
739,7
740,9
741,3
742,2
743,19
744,5
745,12
746,7
747,16
748,10
749,15
750,10
751,7
752,10
753,14
754,13
755,12
756,10
757,8
758,15
759,44
760,27
761,19
762,14
763,36
764,11
765,25
766,28
767,21
768,23
769,23
770,25
771,15
772,19
773,19
774,18
775,40
776,31
777,11
778,21
779,8
780,63
781,23
782,11
783,21
784,20
785,19
786,43
787,23
788,25
789,13
790,17
791,13
792,15
793,19
794,15
795,11
796,13
797,8
798,19
799,36
800,22
801,26
802,28
803,37
804,40
805,33
806,29
807,25
808,25
809,9
810,21
811,16
812,14
813,34
814,27
815,19
816,33
817,17
818,9
819,10
820,25
821,24
822,31
823,9
824,13
825,16
826,28
827,39
828,60
829,36
830,18
831,29
832,40
833,37
834,34
835,27
836,26
837,15
838,33
839,30
840,12
841,39
842,63
843,73
844,41
845,53
846,64
847,28
848,35
849,17
850,27
851,16
852,46
853,26
854,43
855,33
856,42
857,43
858,69
859,42
860,35
861,43
862,40
863,35
864,35
865,60
866,58
867,17
868,14
869,24
870,18
871,42
872,65
873,41
874,29
875,37
876,32
877,28
878,12
879,9
880,9
881,33
882,18
883,13
884,9
885,20
886,20
887,13
888,11
889,18
890,25
891,29
892,20
893,31
894,9
895,11
896,9
897,27
898,35
899,30
900,7
901,5
902,8
903,5
904,6
905,17
906,6
907,4
908,7
909,12
910,11
911,15
912,5
913,7
914,10
915,12
916,13
917,16
918,15
919,52
920,8
921,8
922,2
923,8
924,5
925,18
926,14
927,12
928,32
929,8
930,7
931,11
932,24
933,21
934,20
935,19
936,16
937,9
938,17
939,7
940,12
941,17
942,23
943,19
944,11
945,18
946,24
947,40
948,22
949,52
950,20
951,8
952,17
953,10
954,6
955,12
956,19
957,14
958,18
959,25
960,29
961,12
962,16
963,30
964,30
965,11
966,31
967,28
968,17
969,19
970,19
971,15
972,17
973,27
974,28
975,16
976,14
977,37
978,20
979,19
980,9
981,7
982,13
983,21
984,17
985,23
986,35
987,35
988,46
989,45
990,23
991,16
992,25
993,19
994,15
995,15
996,39
997,24
998,30
999,19
1000,29
1001,18
1002,16
1003,25
1004,60
1005,29
1006,64
1007,46
1008,39
1009,25
1010,26
1011,48
1012,19
1013,14
1014,19
1015,37
1016,46
1017,26
1018,25
1019,20
1020,37
1021,49
1022,38
1023,43
1024,54
1025,31
1026,40
1027,32
1028,44
1029,71
1030,35
1031,36
1032,28
1033,50
1034,53
1035,36
1036,51
1037,85
1038,111
1039,138
1040,108
1041,41
1042,58
1043,86
1044,33
1045,104
1046,64
1047,87
1048,45
1049,70
1050,73
1051,160
1052,111
1053,82
1054,73
1055,50
1056,49
1057,56
1058,38
1059,48
1060,74
1061,91
1062,34
1063,56
1064,74
1065,63
1066,62
1067,32
1068,26
1069,34
1070,28
1071,25
1072,27
1073,52
1074,36
1075,43
1076,57
1077,89
1078,53
1079,32
1080,82
1081,116
1082,61
1083,26
1084,48
1085,37
1086,56
1087,64
1088,46
1089,52
1090,27
1091,12
1092,33
1093,49
1094,28
1095,28
1096,46
1097,25
1098,29
1099,40
1100,108
1101,72
1102,98
1103,163
1104,110
1105,55
1106,66
1107,30
1108,41
1109,57
1110,127
1111,246
1112,121
1113,53
1114,48
1115,106
1116,77
1117,76
1118,275
1119,199
1120,66
1121,49
1122,60
1123,46
1124,82
1125,35
1126,28
1127,42
1128,89
1129,80
1130,61
1131,25
1132,25
1133,30
1134,31
1135,28
1136,33
1137,35
1138,24
1139,28
1140,18
1141,32
1142,48
1143,26
1144,40
1145,60
1146,29
1147,29
1148,22
1149,33
1150,24
1151,9
1152,25
1153,20
1154,15
1155,22
1156,10
1157,20
1158,12
1159,18
1160,30
1161,16
1162,24
1163,30
1164,11
1165,26
1166,15
1167,39
1168,27
1169,19
1170,28
1171,33
1172,33
1173,31
1174,48
1175,20
1176,16
1177,20
1178,34
1179,18
1180,25
1181,47
1182,18
1183,49
1184,48
1185,46
1186,14
1187,22
1188,34
1189,28
1190,48
1191,33
1192,41
1193,60
1194,77
1195,43
1196,56
1197,65
1198,30
1199,32
1200,58
1201,60
1202,51
1203,102
1204,93
1205,43
1206,54
1207,45
1208,48
1209,61
1210,85
1211,139
1212,63
1213,71
1214,55
1215,53
1216,26
1217,17
1218,34
1219,39
1220,32
1221,38
1222,40
1223,38
1224,38
1225,33
1226,58
1227,28
1228,50
1229,64
1230,71
1231,75
1232,71
1233,141
1234,61
1235,85
1236,56
1237,68
1238,103
1239,136
1240,102
1241,95
1242,159
1243,99
1244,95
1245,82
1246,74
1247,132
1248,123
1249,97
1250,127
1251,59
1252,70
1253,120
1254,58
1255,83
1256,90
1257,158
1258,40
1259,73
1260,102
1261,103
1262,107
1263,71
1264,112
1265,108
1266,151
1267,147
1268,120
1269,127
1270,126
1271,135
1272,102
1273,126
1274,150
1275,271
1276,80
1277,92
1278,72
1279,103
1280,121
1281,105
1282,108
1283,104
1284,106
1285,80
1286,45
1287,60
1288,27
1289,27
1290,50
1291,35
1292,49
1293,44
1294,31
1295,25
1296,48
1297,22
1298,54
1299,37
1300,45
